custom_id,twitter_handle,bigram
263,RepFinkenauer,"(health,care)"
263,RepFinkenauer,"(care,act)"
263,RepFinkenauer,"(million,americans)"
263,RepFinkenauer,"(pre,existing)"
263,RepFinkenauer,"(existing,conditions)"
263,RepFinkenauer,"(health,care)"
263,RepFinkenauer,"(proud,cosponsor)"
263,RepFinkenauer,"(passed,house)"
263,RepFinkenauer,"(anti,semitism)"
263,RepFinkenauer,"(press,conference)"
263,RepFinkenauer,"(town,halls)"
263,RepFinkenauer,"(white,house)"
263,RepFinkenauer,"(town,hall)"
263,RepFinkenauer,"(common,sense)"
263,RepFinkenauer,"(social,security)"
263,RepFinkenauer,"(happy,easter)"
263,RepFinkenauer,"(paying,jobs)"
263,RepFinkenauer,"(100,days)"
263,RepFinkenauer,"(100,days)"
263,RepFinkenauer,"(free,internet)"
263,RepFinkenauer,"(proud,support)"
263,RepFinkenauer,"(pre,existing)"
263,RepFinkenauer,"(existing,conditions)"
263,RepFinkenauer,"(proud,stand)"
263,RepFinkenauer,"(subcommittee,hearing)"
263,RepFinkenauer,"(congressional,art)"
263,RepFinkenauer,"(art,competition)"
263,RepFinkenauer,"(public,service)"
263,RepFinkenauer,"(passed,house)"
263,RepFinkenauer,"(house,representatives)"
263,RepFinkenauer,"(health,care)"
263,RepFinkenauer,"(pre,existing)"
263,RepFinkenauer,"(existing,conditions)"
263,RepFinkenauer,"(clean,water)"
263,RepFinkenauer,"(rural,communities)"
263,RepFinkenauer,"(looking,forward)"
263,RepFinkenauer,"(social,security)"
263,RepFinkenauer,"(21st,century)"
263,RepFinkenauer,"(common,sense)"
263,RepFinkenauer,"(subcommittee,hearing)"
263,RepFinkenauer,"(looking,forward)"
263,RepFinkenauer,"(federal,agency)"
263,RepFinkenauer,"(issues,facing)"
263,RepFinkenauer,"(white,house)"
263,RepFinkenauer,"(climate,change)"
263,RepFinkenauer,"(national,emergency)"
263,RepFinkenauer,"(president,trump)"
263,RepFinkenauer,"(national,emergency)"
263,RepFinkenauer,"(lives,lost)"
263,RepFinkenauer,"(move,forward)"
263,RepFinkenauer,"(common,sense)"
263,RepFinkenauer,"(proud,join)"
263,RepFinkenauer,"(house,representatives)"
263,RepFinkenauer,"(house,floor)"
263,RepFinkenauer,"(committee,hearing)"
263,RepFinkenauer,"(government,shutdown)"
263,RepFinkenauer,"(civil,rights)"
263,RepFinkenauer,"(federal,agency)"
263,RepFinkenauer,"(mobile,office)"
263,RepFinkenauer,"(office,hours)"
263,RepFinkenauer,"(paycheck,fairness)"
263,RepFinkenauer,"(fairness,act)"
263,RepFinkenauer,"(look,forward)"
263,RepFinkenauer,"(equal,pay)"
263,RepFinkenauer,"(federal,employees)"
263,RepFinkenauer,"(act,2019)"
263,RepFinkenauer,"(continue,fight)"
263,RepFinkenauer,"(affordable,housing)"
263,RepFinkenauer,"(create,jobs)"
263,RepFinkenauer,"(health,care)"
263,RepFinkenauer,"(rural,communities)"
263,RepFinkenauer,"(house,floor)"
263,RepFinkenauer,"(house,floor)"
263,RepFinkenauer,"(rural,communities)"
263,RepFinkenauer,"(proud,stand)"
263,RepFinkenauer,"(federal,workers)"
263,RepFinkenauer,"(health,care)"
516,RepSpanberger,"(116th,congress)"
516,RepSpanberger,"(mental,health)"
516,RepSpanberger,"(21st,century)"
516,RepSpanberger,"(proud,join)"
516,RepSpanberger,"(climateactionnow,act)"
516,RepSpanberger,"(passed,house)"
516,RepSpanberger,"(climateactionnow,act)"
516,RepSpanberger,"(passed,house)"
516,RepSpanberger,"(national,security)"
516,RepSpanberger,"(climateactionnow,act)"
516,RepSpanberger,"(national,security)"
516,RepSpanberger,"(look,forward)"
516,RepSpanberger,"(forward,continuing)"
