Senator,State,Twitter,Facebook
Richard Shelby,Alabama,@SenShelby,https://www.facebook.com/RichardShelby
Doug Jones,Alabama,@DougJones,https://www.facebook.com/senatordougjones/
Dan Sullivan,Alaska,@SenDanSullivan,https://www.facebook.com/SenDanSullivan
Lisa Murkowski,Alaska,@lisamurkowski,https://www.facebook.com/SenLisaMurkowski
Martha McSally,Arizona,@SenMcSallyAZ,https://www.facebook.com/SenMarthaMcSally/
Kyrsten Sinema,Arizona,@SenatorSinema,https://www.facebook.com/KyrstenSinema/
Tom Cotton,Arkansas,@SenTomCotton,https://www.facebook.com/SenatorTomCotton
John Boozman,Arkansas,@JohnBoozman,https://www.facebook.com/JohnBoozman
Dianne Feinstein,California,@SenFeinstein,https://www.facebook.com/SenatorFeinstein
Kamala Harris,California,@KamalaHarris,https://www.facebook.com/KamalaHarris
Cory Gardner,Colorado,@SenCoryGardner,https://www.facebook.com/SenCoryGardner
Michael Bennet,Colorado,@SenBennetCO,https://www.facebook.com/senatorbennet
Chris Murphy,Connecticut,@ChrisMurphyCT,https://www.facebook.com/ChrisMurphyCT
Richard Blumenthal,Connecticut,@SenBlumenthal,https://www.facebook.com/SenBlumenthal
Chris Coons,Delaware,@SenCoonsOffice,https://www.facebook.com/chriscoons
Thomas Carper,Delaware,@SenatorCarper,https://www.facebook.com/tomcarper
Marco Rubio,Florida,@marcorubio,https://www.facebook.com/MarcoRubio
Rick Scott,Florida,@ScottforFlorida,https://www.facebook.com/RickScottSenOffice/
David Perdue,Georgia,@sendavidperdue,https://www.facebook.com/perduesenate
Johnny Isakson,Georgia,@SenatorIsakson,https://www.facebook.com/isakson
Brian Schatz,Hawaii,@SenBrianSchatz,https://www.facebook.com/BrianSchatz
Mazie Hirono,Hawaii,@maziehirono,https://www.facebook.com/mazie.hirono
Jim Risch,Idaho,@SenatorRisch,https://www.facebook.com/pages/Jim-Risch/107379405951426
Mike Crapo,Idaho,@MikeCrapo,https://www.facebook.com/mikecrapo
Tammy Duckworth,Illinois,@RepDuckworth,https://www.facebook.com/SenDuckworth
Richard Durbin,Illinois,@SenatorDurbin,https://www.facebook.com/SenatorDurbin
Mike Braun,Indiana,@Braun4Indiana,https://www.facebook.com/mikebraunforindiana/
Todd Young,Indiana,@ToddYounIN,https://www.facebook.com/RepToddYoung
Chuck Grassley,Iowa,@ChuckGrassley,https://www.facebook.com/grassley
