congress,chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
0,house,A000055,Aderholt,AL,4,Republican,122,0.9754098360655737,0.95607737,63
115,house,A000055,Aderholt,AL,4,R,95,0.968421052631579,0.94634916,63
116,house,A000055,Aderholt,AL,4,R,27,1,0.99030628,63
0,house,A000367,Amash,MI,3,Republican,120,0.6166666666666667,0.79257567,9.4
115,house,A000367,Amash,MI,3,R,96,0.5416666666666666,0.84738551,9.4
116,house,A000367,Amash,MI,3,R,24,0.9166666666666666,0.57333629,9.4
0,house,A000369,Amodei,NV,2,Republican,120,0.9833333333333333,0.83643565,12.3
115,house,A000369,Amodei,NV,2,R,94,0.9893617021276596,0.87652676,12.3
116,house,A000369,Amodei,NV,2,R,26,0.9615384615384616,0.69149086,12.3
0,house,A000370,Adams,NC,12,Democrat,118,0.13559322033898305,0.15892733,-40
115,house,A000370,Adams,NC,12,D,92,0.17391304347826086,0.20378724,-40
116,house,A000370,Adams,NC,12,D,26,0,1.9227e-4,-40
0,house,A000371,Aguilar,CA,31,Democrat,121,0.21487603305785125,0.24488489,-21.1
115,house,A000371,Aguilar,CA,31,D,94,0.2765957446808511,0.31386763,-21.1
116,house,A000371,Aguilar,CA,31,D,27,0,0.00472275,-21.1
0,house,A000372,Allen,GA,12,Republican,122,0.9672131147540983,0.88593985,16.2
115,house,A000372,Allen,GA,12,R,95,0.968421052631579,0.90578921,16.2
116,house,A000372,Allen,GA,12,R,27,0.9629629629629629,0.8160995,16.2
0,house,A000374,Abraham,LA,5,Republican,111,0.9369369369369369,0.94451579,29.4
115,house,A000374,Abraham,LA,5,R,96,0.9270833333333334,0.9458395,29.4
116,house,A000374,Abraham,LA,5,R,15,1,0.936044,29.4
0,house,A000375,Arrington,TX,19,Republican,122,0.9672131147540983,0.95658488,49
115,house,A000375,Arrington,TX,19,R,95,0.968421052631579,0.94961009,49
116,house,A000375,Arrington,TX,19,R,27,0.9629629629629629,0.98112579,49
0,house,A000376,Allred,TX,32,Democrat,26,0,0.11369972,-1.9
